id,uuid,observed_on_string,observed_on,tag_list,description,num_identification_agreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,field:stemdiameter,field:stemcircumference,field:units for stemdiameter or stemcircumference,field:cropyear,field:cropcount,field:cropfraction,field:canopyclass,field:treeidentifier,field:basalareafactor,field:stemdiameter2,field:stemdiameter3,field:cropcount2,field:cropyear2,field:cropcount3,field:cropyear3,field:crownradius,field:crownradius2,field:treeht,field:reproht,field:refht
264284518,0c82c216-c35c-4989-94f5-17d1370d4ff6,2025-03-07 07:29:17,2025-03-07,"","Vrptshokwane_1-1
Count 0
Crop fraction 0.8
Dbh A stem 3.8
Crown class 2
Crown width 4
Basal area 213
",0,false,2,"Kruger National Park, ZA-MP-EH, ZA-MP, ZA",-24.9873635,31.6124429,2700,,,,2700,,open,false,,,Magic Gwarrie,Euclea divinorum,Magic Gwarrie,Plantae,343032,3.8,,,2025,0,0.8,2,VRPtshok_1-1,213,,,,,,,,,,,
264284556,9c025739-7e74-421a-b153-ea074bd94343,2025-03-07 07:37:00,2025-03-07,"","Vrptshokwane_1-4
Count 0
Crop fraction 0.8
Dbh A stem 7.5
Crown class 2
Crown width 2.5
Basal area 213",0,false,2,"Kruger National Park, ZA-MP-EH, ZA-MP, ZA",-24.9873635,31.6124429,2781,,,,2781,,open,false,,,Magic Gwarrie,Euclea divinorum,Magic Gwarrie,Plantae,343032,7.5,,,2025,0,0.8,2,Vrptshok_1-4,213,,,,,,,,,,,
264284580,ec2876fd-6e3c-4103-90f4-6076e5d389e7,2025-03-07 07:39:00,2025-03-07,"","Vrptshokwane_1-6
Count 0
Crop fraction 0.8
Dbh A stem 4.4
Crown class 2
Crown width 3
Basal area 213",0,false,2,"Kruger National Park, ZA-MP-EH, ZA-MP, ZA",-24.9004966667,31.725415,11,,,,11,,open,false,,,Magic Gwarrie,Euclea divinorum,Magic Gwarrie,Plantae,343032,4.4,,,2025,0,0.8,2,,,,,,,,,3,,,,
264284608,7d20507a-82a4-41a4-b043-e3e35daf825f,2025-03-07 07:40:48,2025-03-07,"","Vrptshokwane_1-7
Count 0
Crop fraction 0.8
Dbh A stem 5.3
Crown class 2
Crown width 4
Basal area 213",0,false,2,"Kruger National Park, ZA-MP-EH, ZA-MP, ZA",-24.9004966667,31.725365,11,,,,11,,open,false,,,Magic Gwarrie,Euclea divinorum,Magic Gwarrie,Plantae,343032,5.3,,,2025,0,0.8,2,VRPtshok_1-7,,,,,,,,,,,,
264284628,10f5641b-ab48-44dd-9432-7a8ba07fcdad,2025-03-07 07:42:20,2025-03-07,"","Vrptshokwane_1-9
Count 0
Crop fraction 0.8
Dbh A stem 5.4
Crown class 2
Crown width 2.5
Basal area 213",0,false,2,"Kruger National Park, ZA-MP-EH, ZA-MP, ZA",-24.900445,31.7254133333,9,,,,9,,open,false,,,Magic Gwarrie,Euclea divinorum,Magic Gwarrie,Plantae,343032,5.4,,,2025,0,0.8,2,VRPtshok_1-9,213,,,,,,,,,,,
264284675,2da1268a-b2ad-41fc-ac22-89edf5d69103,2025-03-07 07:50:59,2025-03-07,"","Vrptshokwane_2-1
Count 56
Crop fraction 0.3
Dbh A stem 3
Crown class 2
Basal area 5",1,false,2,"Kruger National Park, ZA-MP-EH, ZA-MP, ZA",-24.8983666667,31.725995,7,,,,7,,open,false,,,Sweet Thorn,Vachellia karroo,Sweet Thorn,Plantae,502780,3,,,2025,56,0.3,2,Vrptshok_2-1,5,,,,,,,,,,,
264284718,d07c69a6-c2d3-418e-ba64-de52d966306c,2025-03-07 07:58:30,2025-03-07,"","Vrptshokwane_2-4
Count 0
Crop fraction 0.1
Dbh A stem 54.6
Crown class 3
Basal area 5

Elephant damage on bark",0,false,2,"Kruger National Park, ZA-MP-EH, ZA-MP, ZA",-24.8983,31.7259316667,6,,,,6,,open,false,,,knobthorn,Senegalia nigrescens,knobthorn,Plantae,594427,54.6,,,2025,0,0.1,3,Vrptshok_2-4,5,,,,,,,,,,,
264284770,d032ac41-1804-4343-afb7-afb936cd7837,2025-03-07 08:02:02,2025-03-07,"","Vrptshokwane_2-6
Count 0
Crop fraction 0.8
Dbh A stem 13.5
Crown class 3
Crown width 3.5
Basal area 213

Toppled over but alive ",0,false,2,"Kruger National Park, ZA-MP-EH, ZA-MP, ZA",-24.9873635,31.6124429,2734,,,,2734,,open,false,,,Magic Gwarrie,Euclea divinorum,Magic Gwarrie,Plantae,343032,13.5,,,2025,0,0.8,3,VRPtshok_2-6,213,,,,,,,,,,,
264284803,fd65e66e-e181-429a-a99e-16cabb810f0b,2025-03-07 08:03:56,2025-03-07,"","Vrptshokwane_2-8
Count 0
Crop fraction 0.7
Dbh A stem 5.7
Crown class 2
Crown width 7
Basal area 213",0,false,2,"Kruger National Park, ZA-MP-EH, ZA-MP, ZA",-24.9873635,31.6124429,2741,,,,2741,,open,false,,,Magic Gwarrie,Euclea divinorum,Magic Gwarrie,Plantae,343032,5.7,,,2025,0,0.7,2,VRPtshok_2-8,213,,,,,,,,,,,
264284823,fbf300a1-2580-46f9-85d6-cfd84b67379e,2025-03-07 08:35:20,2025-03-07,"","Vrptshokwane_3-2
Count 999
Crop fraction 0.9
Dbh A stem 5
Crown class 4
Basal area 5",0,false,2,"Kruger National Park, ZA-MP-EH, ZA-MP, ZA",-24.8715316667,31.7750816667,7,,,,7,,open,false,,,Blue Spikethorn,Gymnosporia glaucophylla,Blue Spikethorn,Plantae,586677,5,,,2025,999,0.9,4,VRPtshok_3-2,5,,,,,,,,,,,
264284875,e9ab0633-e1dd-43a1-9cc4-bee8898bf97d,2025-03-07 08:39:28,2025-03-07,"","Vrptshokwane_3-4
Count 44
Crop fraction 0.6
Dbh A stem 15.2
Crown class 3
Basal area 5",1,false,2,"Kruger National Park, ZA-MP-EH, ZA-MP, ZA",-24.8715716667,31.7750016667,5,,,,5,,open,false,,,red bushwillow,Combretum apiculatum,red bushwillow,Plantae,340059,15.2,,,2025,44,0.6,3,VRPtshok_3-4,,,,,,,,,,,,
264284911,7abdc7c3-3dd4-4376-831a-31fca11c0de0,2025-03-07 08:44:21,2025-03-07,"","Vrptshokwane_3-7
Count 12
Crop fraction 0.3
Dbh A stem 6.2
Crown class 3
Basal area 5",0,false,2,"Kruger National Park, ZA-MP-EH, ZA-MP, ZA",-24.871665,31.77511,5,,,,5,,open,false,,,Red Bushwillow,Combretum apiculatum,red bushwillow,Plantae,340059,6.2,,,2025,12,0.3,3,VRPtshok_3-7,5,,,,,,,,,,,
264284939,839941c4-026d-4a04-a763-6d49142d71cb,2025-03-07 10:16:41,2025-03-07,"","Vrptshokwane34_1-2
Count 0
Crop fraction 0.7
Dbh A stem 4.4
Crown class 3
Crown width 5.5
Basal area 213",0,false,2,"Kruger National Park, ZA-MP-EH, ZA-MP, ZA",-24.77836,31.85126,4,,,,4,,open,false,,,Magic Gwarrie,Euclea divinorum,Magic Gwarrie,Plantae,343032,4.4,,,2025,0,0.7,3,VRPtshok34_1-2,213,,,,,,,,,,,
264284972,c162fc2d-6392-491d-b6e3-4072209016e1,2025-03-07 10:21:40,2025-03-07,"","Vrptshokwane34_1-4
Count 55
Crop fraction 0.1
Dbh A stem 4
Crown class 2
Crown width 5.5
Basal area 213",1,false,2,"Kruger National Park, ZA-MP-EH, ZA-MP, ZA",-24.7781716667,31.8509616667,8,,,,8,,open,false,,,Snowberrytree,Flueggea virosa,snowberrytree,Plantae,340143,4,,,2025,55,0.1,2,VRPtshok34_1-4,213,,,,,,,,,,,
264285030,02fb66d3-960a-47e6-a290-742c1ca78f69,2025-03-07 10:28:07,2025-03-07,"","Vrptshokwane34_2-1
Count 41
Crop fraction 0.1
Dbh A stem 12.7
Crown class 2
Crown width 6
Basal area 213",2,false,2,"Kruger National Park, ZA-MP-EH, ZA-MP, ZA",-24.7783433333,31.8498966667,9,,,,9,,open,false,,,Snowberrytree,Flueggea virosa,snowberrytree,Plantae,340143,12.7,,,2025,41,0.1,2,VRPtshok34_2-1,213,,,,,,,,,,,
264285088,0bfd442b-2031-4616-be21-d9fd98382502,2025-03-07 10:37:29,2025-03-07,"","Vrptshokwane34_3-1
Count 0
Crop fraction 0.4
Dbh A stem 12.4
Crown class 1
Basal area 5",0,false,2,"Kruger National Park, ZA-MP-EH, ZA-MP, ZA",-24.77875,31.8487433333,8,,,,8,,open,false,,,vachellia nilotica,Vachellia nilotica,Egyptian acacia,Plantae,557826,12.4,,,2025,0,0.4,1,VRPtshok34_3-1,5,,,,,,,,,,,
264285118,52da8406-be48-4685-aa47-98b3a756c626,2025-03-07 10:47:54,2025-03-07,"","Vrptshokwane34_4-1
Count 550
Crop fraction 0.3
Dbh A stem 9.5
Crown class 2
Basal area 5",1,false,2,"Kruger National Park, ZA-MP-EH, ZA-MP, ZA",-24.7769066667,31.849835,9,,,,9,,open,false,,,russet bushwillow,Combretum hereroense,russet bushwillow,Plantae,340062,9.5,,,2025,550,0.3,2,VRPtshok34_4-1,5,,,,,,,,,,,
264285171,43e41566-a57e-473f-a897-ce6c81607727,2025-03-07 10:52:26,2025-03-07,"","Vrptshokwane34_4-5
Count 0
Crop fraction 0.8
Dbh A stem 2.3
Crown class 2
Crown width 2.5
Basal area 213",0,false,2,"Kruger National Park, ZA-MP-EH, ZA-MP, ZA",-24.7771316667,31.8496683333,9,,,,9,,open,false,,,Magic Gwarrie,Euclea divinorum,Magic Gwarrie,Plantae,343032,2.3,,,2025,0,0.8,2,VRPtshok34_4-5,213,,,,,,,,,,,
264285196,659007c3-46d9-4248-9287-110f9e67f54e,2025-03-07 10:54:25,2025-03-07,"","Vrptshokwane34_4-7
Count 0
Crop fraction 0.7
Dbh A stem 3.2
Crown class 2
Crown width 1.5
Basal area 213",0,false,2,"Kruger National Park, ZA-MP-EH, ZA-MP, ZA",-24.7771316667,31.84996,9,,,,9,,open,false,,,Magic Gwarrie,Euclea divinorum,Magic Gwarrie,Plantae,343032,3.2,,,2025,0,0.7,2,VRPtshok34_4-7,213,,,,,,,,,,,
264285244,4430d6b9-5311-4d82-af29-a6388d272b87,2025-03-07 11:26:10,2025-03-07,"","Vrptshokwane34_5-1
Count 74
Crop fraction 0.3
Dbh A stem 7.3
Crown class 4
Basal area 5",0,false,2,"Kruger National Park, ZA-MP-EH, ZA-MP, ZA",-24.765485,31.7762483333,6,,,,6,,open,false,,,Red Bushwillow,Combretum apiculatum,red bushwillow,Plantae,340059,7.3,,,2025,74,0.3,4,VRPTSHOK34_5-1,5,,,,,,,,,,,
264285283,3eae9134-6748-4479-b744-81d08e70137f,2025-03-07 11:29:24,2025-03-07,"","Vrptshokwane34_5-4
Count 0
Crop fraction 0.7
Dbh A stem 4.1
Crown class 4
Basal area 5",0,false,2,"Kruger National Park, ZA-MP-EH, ZA-MP, ZA",-24.7654566667,31.7762233333,7,,,,7,,open,false,,,Red Bushwillow,Combretum apiculatum,red bushwillow,Plantae,340059,4.1,,,2025,0,0.7,4,VRPTSHOK34_5-4,5,,,,,,,,,,,
264285338,6f9a5eb5-5508-49f3-acc8-a69306b9edfd,2025-03-07 11:32:13,2025-03-07,"","Vrptshokwane34_5-6
Count 0
Crop fraction 0.5
Dbh A stem 8.4
Crown class 4
Basal area 5",0,false,2,"Kruger National Park, ZA-MP-EH, ZA-MP, ZA",-24.7653516667,31.7762233333,9,,,,9,,open,false,,,Red Bushwillow,Combretum apiculatum,red bushwillow,Plantae,340059,8.4,,,2025,0,0.5,4,VRPTSHOK34_5-6,5,,,,,,,,,,,
264285443,2e6cb0d2-06cb-4c52-885e-31b1da74825f,2025-03-07 11:51:37,2025-03-07,"","Vrptshokwane34_6-1
Count 0
Crop fraction 0.9
Dbh A stem 5.3
Crown class 2
Basal area 5",0,false,2,"Kruger National Park, ZA-MP-EH, ZA-MP, ZA",-24.7664566667,31.81761,4,,,,4,,open,false,,,Apple-Leaf,Philenoptera violacea,apple-leaf,Plantae,340211,5.3,,,2025,0,0.9,2,VRPTSHOK34_6-1,5,,,,,,,,,,,
264286600,8708473e-3251-4ec9-894a-90487f4b3e25,2025-03-07 07:30:04+02:00,2025-03-07,"","Vrptshokwane_1-2
0,.7
10,1
5 crown width 
213 baf ",0,false,3,"Kruger National Park, ZA-MP-EH, ZA-MP, ZA",-24.9004094689,31.7254368575,7,,,,7,,open,false,,,Magic Gwarrie,Euclea divinorum,Magic Gwarrie,Plantae,343032,10,,,2025,0,.7,1,VRPtshok_1-2,213,,,,,,,,,,,
264286653,a298bfc5-0bf4-4ac4-9b0d-b8380d797cc4,2025-03-07 07:36:11+02:00,2025-03-07,"","Vrptshokewane_1-3
0,.7
8,1
4 crown 
213
",0,false,3,"Kruger National Park, ZA-MP-EH, ZA-MP, ZA",-24.9003947021,31.7254472768,6,,,,6,,open,false,,,Magic Gwarrie,Euclea divinorum,Magic Gwarrie,Plantae,343032,8,,,2025,0,.7,1,VRPtshok_1-3,213,,,,,,,,,,,
264286720,c3afebfe-a6a5-4f04-96c5-24e061b3c3fb,2025-03-07 07:39:03+02:00,2025-03-07,"","Vrptsokwane_1-5
0,.8
12,2
3
213",0,false,3,"Kruger National Park, ZA-MP-EH, ZA-MP, ZA",-24.9004150108,31.7254550504,3,,,,3,,open,false,,,Magic Gwarrie,Euclea divinorum,Magic Gwarrie,Plantae,343032,12,,,2025,0,.8,2,VRPtshok_1-5,213,,,,,,,,,,,
264286772,0d5fead3-8591-46fe-9310-3cbbdc551c99,2025-03-07 07:41:31+02:00,2025-03-07,"","Vrptsokwane_1-8
0,.9
6,2
4 cw 
213

",1,false,3,"Kruger National Park, ZA-MP-EH, ZA-MP, ZA",-24.9005367514,31.7252854072,6,,,,6,,open,false,,,Thorny Karee,Searsia gueinzii,Thorny Karee,Plantae,560135,6,,,2025,0,.9,2,VRPtshok_1-8,213,,,,,,,,,,,
264286811,f873206e-4475-4f74-a3cd-64fc7b80d082,2025-03-07 07:43:37+02:00,2025-03-07,"","Tsokewane_1-10
0,.9
12,1
6.5 cw
213

",0,false,3,"Kruger National Park, ZA-MP-EH, ZA-MP, ZA",-24.9003688699,31.7253819948,8,,,,8,,open,false,,,Magic Gwarrie,Euclea divinorum,Magic Gwarrie,Plantae,343032,12,,,2025,0,.9,1,VRPtshok_1-10,213,,,,,,,,,,,
264286979,3662f861-459b-472d-8f7a-fd10d708c3e4,2025-03-07 07:52:40+02:00,2025-03-07,"","Tsockwane_2-2
0,.9
8,2
4 cw
213",0,false,3,"Kruger National Park, ZA-MP-EH, ZA-MP, ZA",-24.8983940767,31.7260153486,9,,,,9,,open,false,,,Magic Gwarrie,Euclea divinorum,Magic Gwarrie,Plantae,343032,8,,,2025,0,.9,2,VRPtshok_2-2,213,,,,,,,,,,,
264287038,868d75ab-fcf4-4ec3-8572-c658e556cdc5,2025-03-07 07:56:00+02:00,2025-03-07,"","Tsockwan_2-3
999,999
21.1,21.6,2


",1,false,3,"Kruger National Park, ZA-MP-EH, ZA-MP, ZA",-24.8983983368,31.7259337707,6,,,,6,,open,false,,,apple-leaf,Philenoptera violacea,apple-leaf,Plantae,340211,21.1,,,2025,999,0,2,VRPtshok_2-3,5,21.6,,,,,,,,,,
264287110,8f5607fa-2d40-4b5d-9c31-e2be84504684,2025-03-07 08:00:51+02:00,2025-03-07,"","0,.2
48,1
Tsokwane-2-5",1,false,3,"Kruger National Park, ZA-MP-EH, ZA-MP, ZA",-24.8983814197,31.7258252706,3,,,,3,,open,false,,,Leadwood,Combretum imberbe,Leadwood,Plantae,340408,48,,,2025,0,.1,1,VRPtshok_2-5,5,,,,,,,,,,,
