project_id,camera_id,camera_name,make,model,serial_number,year_purchased
2009198,2134803, 11100258003225HDX,,,,
2009198,2134968,CA11,,,,
2009198,2134974,S14,,,,
2009198,2134976,CA14,,,,
2009198,2134980,V4,,,,
2009198,2134989,S13,,,,
2009198,2134990,X35,,,,
2009198,2134991,SD4,,,,
2009198,2134992,X20,,,,
2009198,2134999,13,,,,
2009198,2135000,O12,,,,
2009198,2135001,B20,,,,
2009198,2135007,CA10,,,,
2009198,2135008,CA8,,,,
2009198,2135038,X24,,,,
2009198,2135039,S9,,,,
2009198,2135183,V3,,,,
2009198,2135184,CA2,,,,
2009198,2135185,X15,,,,
2009198,2135188,CA13,,,,
2009198,2135189,X22,,,,
2009198,2135191,BL2333852991Y,,,,
2009198,2135192,S5,,,,
2009198,2135206,X3,,,,
2009198,2135209,BL2330852991Y,,,,
2009198,2135244,26A,,,,
2009198,2135255,CA7,,,,
2009198,2135257,V6,,,,
2009198,2135259,X7,,,,
2009198,2135260,CA6,,,,
2009198,2135261,C4,,,,
2009198,2135263,S10,,,,
